Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact Factor,5-Year Impactor Factor,Immediacy Index,Articles,Cited Half-life,EigenfactorTM Score,Article InfluenceTM Score
1,4OR-Q J OPER RES,1619-4500,163,0.323,,0.031,32,4.6,0.00158,
2,AAOHN J,0891-0162,405,0.509,,0.078,51,6.5,0.00086,
3,AAPG BULL,0149-1423,6068,1.831,2.38,0.227,75,>10.0,0.00624,0.948
4,AAPS J,1550-7416,2340,5.086,5.705,0.614,57,4.4,0.00931,1.527
5,AAPS PHARMSCITECH,1530-9932,2314,1.432,1.925,0.166,157,5,0.00542,0.393
6,AATCC REV,1532-8813,190,0.139,0.317,0.049,41,7.3,0.00032,0.079
7,ABDOM IMAGING,0942-8925,2082,1.725,1.655,0.287,108,6.6,0.00508,0.492
8,ABH MATH SEM HAMBURG,0025-5858,365,0.222,0.256,0,17,>10.0,0.00034,0.24
9,ABSTR APPL ANAL,1085-3375,689,1.318,1.202,0.178,298,3,0.00326,0.477
10,ACAD EMERG MED,1069-6563,5400,1.861,2.474,0.368,209,6.6,0.01556,0.859
11,ACAD MED,1040-2446,7955,3.524,3.076,1.026,192,7.1,0.02073,1.135
12,ACAD PEDIATR,1876-2859,335,2.398,2.398,0.969,65,2.1,0.00176,0.85
13,ACAD RADIOL,1076-6332,3481,1.692,1.937,0.323,195,5.9,0.01035,0.635
14,ACCOUNT RES,0898-9621,135,0.618,,0.609,23,5.1,0.00041,
15,ACCOUNTS CHEM RES,0001-4842,39664,21.64,22.507,3.46,126,7,0.1012,7.286
16,ACCREDIT QUAL ASSUR,0949-1775,627,1.036,0.781,0.677,62,5.2,0.00124,0.162
17,ACI MATER J,0889-325X,2345,0.803,1.283,0.097,72,>10.0,0.00438,0.724
18,ACI STRUCT J,0889-3241,2408,0.667,1.169,0.117,60,>10.0,0.00492,0.666
19,ACM COMPUT SURV,0360-0300,2295,4.529,9.169,0.484,31,8.8,0.00704,5.397
20,ACM J EMERG TECH COM,1550-4832,65,0.414,,0.118,17,,0.00049,
21,ACM SIGPLAN NOTICES,0362-1340,767,0.09,0.126,0.006,362,>10.0,0.0017,0.074
22,ACM T ALGORITHMS,1549-6325,297,0.646,,0.038,53,4.2,0.00449,
23,ACM T APPL PERCEPT,1544-3558,252,1.145,,0.211,19,4.8,0.00184,
24,ACM T ARCHIT CODE OP,1544-3566,130,0.568,,0,17,5.5,0.00094,
25,ACM T AUTON ADAP SYS,1556-4665,128,1.286,1.645,0,28,3.7,0.00102,0.727
26,ACM T COMPUT LOG,1529-3785,294,0.823,1.145,0.048,21,5.8,0.00267,1.053
27,ACM T COMPUT SYST,0734-2071,792,1.188,2.531,0,12,>10.0,0.0014,1.552
28,ACM T COMPUT-HUM INT,1073-0516,479,0.838,,0.045,22,8.4,0.00123,
29,ACM T DATABASE SYST,0362-5915,894,1,1.414,0.077,26,9.7,0.00256,0.995
30,ACM T DES AUTOMAT EL,1084-4309,372,0.811,0.823,0.054,37,5.4,0.00196,0.431
31,ACM T EMBED COMPUT S,1539-9087,404,0.607,,0.105,19,4.8,0.00214,
32,ACM T GRAPHIC,0730-0301,6373,3.489,4.422,0.305,190,5.6,0.03051,2.165
33,ACM T INFORM SYST,1046-8188,1075,1.077,1.505,0.133,15,9.6,0.00207,1.014
34,ACM T INFORM SYST SE,1094-9224,378,0.696,,0,30,6.6,0.00165,
35,ACM T INTERNET TECHN,1533-5399,267,0.893,,0,12,6.4,0.00118,
36,ACM T KNOWL DISCOV D,1556-4681,135,1.419,,0,10,3.3,0.00173,
37,ACM T MATH SOFTWARE,0098-3500,2145,1.922,2.222,0.25,24,>10.0,0.0047,1.497
