Rank,Journal Title,ISSN,Total Cites,IF,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
1,4OR-Q J OPER RES,1619-4500,270,0.73,1.137,0.03,33,5.4,0.00163,0.635
2,AAOHN J,0891-0162,474,0.856,0.977,,0,6.8,0.00084,0.218
3,AAPG BULL,0149-1423,7081,1.768,2.455,0.413,92,>10.0,0.00633,1.019
4,AAPS J,1550-7416,2779,4.386,5.714,0.604,91,4.7,0.00832,1.54
5,AAPS PHARMSCITECH,1530-9932,2606,1.584,1.906,0.171,164,5.3,0.00595,0.419
6,AATCC REV,1532-8813,205,0.354,0.297,0.067,30,8.3,0.00023,0.063
7,ABDOM IMAGING,0942-8925,2345,1.905,1.861,0.304,125,6.6,0.00454,0.46
8,ABH MATH SEM HAMBURG,0025-5858,399,0.568,0.461,0,10,>10.0,0.0009,0.679
9,ABSTR APPL ANAL,1085-3375,1244,1.102,1.183,0.349,811,2.3,0.0039,0.358
10,ACAD EMERG MED,1069-6563,6020,1.757,2.425,0.445,191,6.9,0.01541,0.882
11,ACAD MED,1040-2446,8646,3.292,3.284,0.795,200,7.5,0.02078,1.194
12,ACAD PEDIATR,1876-2859,569,2.328,3.017,0.46,63,2.9,0.00365,1.169
13,ACAD RADIOL,1076-6332,3876,1.914,2.068,0.48,196,5.9,0.01009,0.638
14,ACCOUNT RES,0898-9621,159,0.756,,0.087,23,6.4,0.00038,
15,ACCOUNTS CHEM RES,0001-4842,42112,20.833,24.633,5.295,207,6.5,0.10817,7.908
16,ACCREDIT QUAL ASSUR,0949-1775,671,1.132,0.885,0.19,63,6.1,0.00119,0.19
17,ACI MATER J,0889-325X,2950,0.826,1.414,0.091,66,>10.0,0.00401,0.657
18,ACI STRUCT J,0889-3241,2961,0.806,1.415,0.115,78,>10.0,0.00494,0.759
19,ACM COMPUT SURV,0360-0300,2907,3.543,7.854,0.421,38,9.6,0.0064,4.097
20,ACM J EMERG TECH COM,1550-4832,103,0.759,0.949,0.065,31,5.1,0.00049,0.353
21,ACM SIGPLAN NOTICES,0362-1340,2724,0.705,0.785,0.041,369,7.3,0.00678,0.276
22,ACM T ALGORITHMS,1549-6325,332,0.54,,0.07,57,5,0.00464,
23,ACM T APPL PERCEPT,1544-3558,266,1,1.269,0.2,20,5.3,0.00138,0.66
24,ACM T ARCHIT CODE OP,1544-3566,136,0.684,0.615,0.117,60,6.1,0.0004,0.236
25,ACM T AUTON ADAP SYS,1556-4665,161,1,1.302,0.108,37,3.8,0.00094,0.556
26,ACM T COMPUT LOG,1529-3785,273,0.792,0.852,0.059,34,6.5,0.00179,0.758
27,ACM T COMPUT SYST,0734-2071,744,0.8,2.082,0.143,14,>10.0,0.00089,1.033
28,ACM T COMPUT-HUM INT,1073-0516,537,1.179,1.368,0.094,32,8.5,0.00105,0.628
29,ACM T DATABASE SYST,0362-5915,946,0.887,1.469,0.067,30,>10.0,0.00254,1.116
30,ACM T DES AUTOMAT EL,1084-4309,393,0.522,0.819,0.077,65,5.8,0.00173,0.405
31,ACM T EMBED COMPUT S,1539-9087,514,1.178,1.582,0.049,81,5.6,0.00263,0.793
32,ACM T GRAPHIC,0730-0301,7674,3.361,4.283,0.34,203,6.2,0.02908,1.969
33,ACM T INFORM SYST,1046-8188,1092,1.07,1.716,0.12,25,8.9,0.00165,0.865
34,ACM T INFORM SYST SE,1094-9224,485,0.69,1.341,0.222,9,7.9,0.00146,0.662
35,ACM T INTERNET TECHN,1533-5399,278,0.792,1.291,0.071,14,7.1,0.00083,0.601
36,ACM T KNOWL DISCOV D,1556-4681,239,1.676,,0.167,24,3.9,0.00223,
37,ACM T MATH SOFTWARE,0098-3500,2518,1.934,2.59,0.238,21,>10.0,0.00492,1.743
38,ACM T MODEL COMPUT S,1049-3301,497,0.528,0.887,0.059,17,>10.0,0.001,0.54
39,ACM T MULTIM COMPUT,1551-6857,317,0.935,1.586,0.146,48,5,0.00192,0.856
40,ACM T PROGR LANG SYS,0164-0925,1055,1.026,1.075,0,16,>10.0,0.00189,0.804
41,ACM T RECONFIG TECHN,1936-7406,86,0.516,,0.048,21,,0.00065,
42,ACM T SENSOR NETWORK,1550-4859,638,1.444,2.485,0.111,27,4.8,0.00317,1.096
43,ACM T SOFTW ENG METH,1049-331X,567,1.548,2.063,0.333,18,9.4,0.00121,0.876
44,ACM T STORAGE,1553-3077,168,1.115,,0.062,16,4.5,0.00085,
45,ACM T WEB,1559-1131,205,1.405,2.446,0,17,4.4,0.0019,1.306
46,ACOUST AUST,0814-6039,49,0.303,0.269,0.167,30,,0.00011,0.096
47,ACOUST PHYS+,1063-7710,600,0.421,0.471,0.121,91,6.6,0.00108,0.112
48,ACS APPL MATER INTER,1944-8244,8635,5.008,5.04,0.683,953,2.3,0.03563,1.284
49,ACS CATAL,2155-5435,1461,5.265,5.265,1.222,315,1.3,0.00585,1.636
50,ACS CHEM BIOL,1554-8929,3417,5.442,5.478,1.387,230,3.1,0.01908,2.141
51,ACS CHEM NEUROSCI,1948-7193,634,3.871,3.957,0.729,107,2,0.00309,1.26
52,ACS COMB SCI,2156-8952,379,3.636,3.636,0.596,99,1.4,0.00141,0.915
53,ACS MACRO LETT,2161-1653,388,,,1.199,306,0.5,0.00011,
54,ACS MED CHEM LETT,1948-5875,1087,3.311,3.318,0.699,193,1.8,0.00462,0.921
55,ACS NANO,1936-0851,38585,12.062,12.524,1.94,1191,2.4,0.20333,4.012
56,ACS SYNTH BIOL,2161-5063,51,,,0.689,61,,0.00006,
57,ACSMS HEALTH FIT J,1091-5397,56,0.298,0.25,0.037,27,,0.0001,0.044
58,ACTA ACUST UNITED AC,1610-1928,1808,0.714,0.722,0.165,91,>10.0,0.00329,0.36
59,ACTA ADRIAT,0001-5113,262,0.356,0.505,0.048,21,>10.0,0.00023,0.133
60,ACTA AGR SCAND A-AN,0906-4702,427,0.607,0.558,0.333,6,>10.0,0.00044,0.172
61,ACTA AGR SCAND B-S P,0906-4710,565,0.705,0.759,0.193,109,6.4,0.00104,0.183
62,ACTA ALIMENT HUNG,0139-3006,339,0.475,0.452,0.05,60,7.5,0.00043,0.095
63,ACTA ANAESTH SCAND,0001-5172,5582,2.355,2.254,0.673,162,7.8,0.01088,0.685
64,ACTA APPL MATH,0167-8019,1159,0.985,0.884,0.214,98,8.2,0.00462,0.484
65,ACTA ARITH,0065-1036,1306,0.472,0.451,0.095,147,>10.0,0.00581,0.56
66,ACTA ASTRONAUT,0094-5765,2040,0.701,0.664,0.155,245,6.3,0.00632,0.25
67,ACTA ASTRONOM,0001-5237,1148,2.682,2.754,0.348,23,>10.0,0.00256,1.198
68,ACTA BIOCH BIOPH SIN,1672-9145,1644,1.807,1.899,0.397,116,4.3,0.00513,0.484
69,ACTA BIOCHIM POL,0001-527X,1969,1.185,1.395,0.114,123,8.1,0.003,0.384
70,ACTA BIOENG BIOMECH,1509-409X,109,0.333,,,,4.1,0.0004,
71,ACTA BIOETH,1726-569X,15,0.061,0.049,,,,0.00003,0.013
72,ACTA BIOL CRACOV BOT,0001-5296,285,0.612,0.725,0.133,30,7.1,0.00047,0.174
73,ACTA BIOL HUNG,0236-5383,467,0.504,0.669,0.112,80,7.6,0.00084,0.17
74,ACTA BIOMATER,1742-7061,10169,5.093,5.378,0.903,453,2.9,0.03948,1.346
75,ACTA BIOQUIM CLIN L,0325-2957,57,0.093,0.116,0,33,,0.00009,0.02
76,ACTA BIOTHEOR,0001-5342,458,0.95,1.135,0.174,23,>10.0,0.00068,0.401
77,ACTA BOT BRAS,0102-3306,1037,0.374,,0.081,99,7.3,0.00164,
78,ACTA BOT CROAT,0365-0588,179,0.435,,0.04,25,5.9,0.00042,
79,ACTA BOT GALLICA,1253-8078,179,0.31,0.29,0.051,39,7.7,0.00022,0.05
80,ACTA BOT MEX,0187-7151,278,0.305,0.443,0.121,33,>10.0,0.00015,0.067
81,ACTA CARDIOL,0001-5385,750,0.607,0.63,0.037,107,6.6,0.00159,0.166
82,ACTA CARDIOL SIN,1011-6842,97,0.667,0.383,0.024,42,,0.0001,0.028
83,ACTA CARSOLOGICA,0583-6050,193,0.542,0.546,0.091,11,6,0.0005,0.165
84,ACTA CHIM SINICA,0567-7351,2190,0.622,0.497,0.118,373,5.5,0.00271,0.067
85,ACTA CHIM SLOV,1318-0207,1140,1.135,1.045,0.07,129,5,0.00248,0.213
86,ACTA CHIR BELG,0001-5458,846,0.359,0.499,0.071,85,6.7,0.0018,0.142
87,ACTA CHIROPTEROL,1508-1109,527,0.894,1.175,0.152,46,6,0.00115,0.302
88,ACTA CHROMATOGR,1233-2356,337,0.644,0.881,0.02,50,5,0.00086,0.193
89,ACTA CIR BRAS,0102-8650,693,0.626,0.695,0.075,159,6.1,0.00111,0.134
90,ACTA CLIN BELG,0001-5512,477,0.589,0.724,0.096,52,5.5,0.00136,0.198
91,ACTA CLIN CROAT,0353-9466,180,0.28,0.44,0.011,90,4.1,0.00042,0.082
92,ACTA CRYSTALLOGR A,0108-7673,12176,2.244,18.332,0.696,69,>10.0,0.02615,4.954
93,ACTA CRYSTALLOGR B,0108-7681,9026,2.175,1.889,0.389,72,>10.0,0.0059,0.829
94,ACTA CRYSTALLOGR C,0108-2701,4290,0.492,0.403,0.214,229,>10.0,0.00232,0.083
95,ACTA CRYSTALLOGR D,0907-4449,12453,14.103,7.54,0.604,182,6.6,0.04814,3.76
96,ACTA CRYSTALLOGR F,1744-3091,1097,0.552,0.486,0.222,352,3.5,0.00527,0.183
97,ACTA CYTOL,0001-5547,2268,0.693,0.696,0.225,102,>10.0,0.00206,0.185
98,ACTA DERM-VENEREOL,0001-5555,4131,3.487,3.792,0.782,78,>10.0,0.00767,1.198
99,ACTA DERMATOVENER CR,1330-027X,150,0.481,0.447,0.04,25,4.9,0.00035,0.101
100,ACTA DIABETOL,0940-5429,1557,4.631,3.608,0.452,93,4.1,0.00338,0.803
101,ACTA ENDOCRINOL-BUCH,1841-0987,90,0.45,0.244,0.102,59,,0.00007,0.016
102,ACTA ENDOSC,0240-642X,56,0.161,0.088,0.073,41,,0.00005,0.011
103,ACTA ENT MUS NAT PRA,0374-1036,248,0.963,,0.071,84,4.7,0.0007,
104,ACTA ETHOL,0873-9749,240,1.147,1.247,0.31,29,7.4,0.00056,0.414
105,ACTA GASTRO-ENT BELG,0001-5644,410,0.581,0.606,0.075,40,7.3,0.00082,0.168
106,ACTA GEOD GEOPHYS HU,1217-8977,111,0.347,0.315,0.057,35,5.5,0.00028,0.091
107,ACTA GEOGR SLOV,1581-6613,69,0.484,0.597,0.235,17,,0.0001,0.083
108,ACTA GEOL POL,0001-5709,741,1.133,1.134,2.062,32,>10.0,0.001,0.382
109,ACTA GEOL SIN-ENGL,1000-9515,2030,1.568,1.401,0.216,134,7,0.00344,0.321
110,ACTA GEOPHYS,1895-6572,364,0.91,0.938,0.195,87,4.1,0.0021,0.412
111,ACTA GEOTECH,1861-1125,163,0.905,1.129,0.217,23,4.1,0.00098,0.483
112,ACTA GEOTECH SLOV,1854-0171,10,0.2,0.167,0,5,,0.00003,0.032
113,ACTA HAEMATOL-BASEL,0001-5792,1563,0.894,1.125,0.236,89,>10.0,0.00267,0.353
114,ACTA HERPETOL,1827-9635,96,0.621,,0.091,33,,0.00036,
115,ACTA HISTOCHEM,0065-1281,1090,1.608,1.589,0.307,114,5.4,0.00243,0.393
116,ACTA HISTOCHEM CYTOC,0044-5991,366,1.48,1.684,0.162,37,5.6,0.00088,0.429
117,ACTA ICHTHYOL PISCAT,0137-1592,195,0.606,,0.027,37,6.7,0.00038,
118,ACTA INFORM,0001-5903,484,0.474,0.491,0.087,23,>10.0,0.00073,0.357
119,ACTA MATER,1359-6454,34860,3.941,4.395,0.781,681,7,0.09849,1.714
120,ACTA MATH APPL SIN-E,0168-9673,477,0.328,0.386,0.041,74,9.4,0.00134,0.238
121,ACTA MATH HUNG,0236-5294,1200,0.348,0.46,0.144,111,>10.0,0.00288,0.31
122,ACTA MATH SCI,0252-9602,527,0.487,0.46,0.079,189,3.9,0.0025,0.204
123,ACTA MATH SIN,1439-8516,1326,0.48,0.604,0.079,191,6.5,0.00642,0.378
124,ACTA MATH-DJURSHOLM,0001-5962,2911,2.714,3.65,0.467,15,>10.0,0.00677,6.436
125,ACTA MECH,0001-5970,2620,1.247,1.207,0.215,181,>10.0,0.00578,0.484
126,ACTA MECH SINICA-PRC,0567-7718,657,0.688,0.901,0.069,175,4.7,0.00254,0.313
127,ACTA MECH SOLIDA SIN,0894-9166,459,1.33,1.059,0.102,49,4.2,0.00172,0.341
128,ACTA MED OKAYAMA,0386-300X,555,0.652,0.785,0.032,62,7.9,0.00101,0.218
129,ACTA MEDICA MEDITERR,0393-6384,46,1.053,0.2,0.274,62,,0.00002,0.009
130,ACTA MEDICA PORT,1646-0758,225,0.151,,0.047,64,6.2,0.00037,
