Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact factor,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
1,CA-CANCER J CLIN,0007-9235,16130,162.5,107.74,27.76,25,3.1,0.06027,34.642
2,REV MOD PHYS,0034-6861,37647,42.86,52.577,8.333,45,>10.0,0.12878,31.941
3,NEW ENGL J MED,0028-4793,257469,54.42,52.426,14.747,348,8.2,0.65916,22.362
4,CHEM REV,0009-2665,124463,45.661,48.832,7.101,207,8.1,0.2176,14.215
5,ANNU REV IMMUNOL,0732-0582,16653,41.392,46.174,9.833,24,8.7,0.04788,23.652
6,NAT REV MOL CELL BIO,1471-0072,34124,36.458,42.584,6.312,64,6.3,0.13375,22.147
7,NAT MATER,1476-1122,54962,36.425,41.775,7.172,151,5.7,0.20038,17.745
8,NAT REV CANCER,1474-175X,36052,37.912,41.706,4.818,66,6.9,0.11209,18.611
9,NATURE,0028-0836,590324,42.351,40.783,8.457,857,9.8,1.60419,22.11
10,NAT REV GENET,1471-0056,26358,39.794,40.274,6.191,68,5.2,0.12699,20.572
11,LANCET,0140-6736,176528,39.207,39.315,12.649,276,9,0.38168,15.966
12,NAT NANOTECHNOL,1748-3387,27858,33.265,38.586,6.133,128,4.1,0.15695,15.901
13,NAT REV IMMUNOL,1474-1733,27024,33.836,37.762,7.123,65,5.9,0.10349,17.328
14,NAT REV NEUROSCI,1471-003X,30120,31.376,37.472,6.161,62,6.9,0.0891,16.749
15,NAT BIOTECHNOL,1087-0156,42156,39.08,35.62,12.043,93,6.8,0.14398,17.493
16,PHYSIOL REV,0031-9333,23974,29.041,35.456,4.486,35,9.8,0.04169,13.843
17,NAT REV DRUG DISCOV,1474-1776,21454,37.231,35.436,6.205,44,6,0.06325,12.774
18,CELL,0092-8674,191226,33.116,35.02,6.75,432,8.4,0.59956,20.044
19,SCIENCE,0036-8075,537035,31.477,34.463,8.568,841,9.9,1.2763,17.644
20,PROG POLYM SCI,0079-6700,17446,26.854,34,4,61,6.4,0.03058,8.053
21,CHEM SOC REV,0306-0012,63071,30.425,33.159,7.424,432,3.8,0.21388,9.061
22,ANNU REV BIOCHEM,0066-4154,20070,26.534,32.97,3.25,28,>10.0,0.04981,17.83
23,NAT PHOTONICS,1749-4885,18623,29.958,32.342,5.59,139,3.6,0.11878,14.885
24,ANNU REV PLANT BIOL,1543-5008,15228,18.9,32.189,3.636,33,>10.0,0.02559,11.59
25,NAT GENET,1061-4036,81548,29.648,32.138,6.575,212,7.1,0.27583,16.117
26,ANNU REV ASTRON ASTR,0066-4146,8312,24.037,31.423,4,12,>10.0,0.02248,18.929
27,JAMA-J AM MED ASSOC,0098-7484,124822,30.387,29.914,8.462,221,9.9,0.25174,13.154
28,ANNU REV NEUROSCI,0147-006X,13345,22.66,28.613,1.542,24,>10.0,0.02782,14.981
29,ADV PHYS,0001-8732,5026,18.062,27.921,8,5,>10.0,0.0102,16.041
30,CANCER CELL,1535-6108,24929,23.893,27.238,4.981,108,5.5,0.11487,14.365
31,NAT METHODS,1548-7091,24560,25.953,27.195,4.755,155,4.1,0.15317,14.086
32,NAT MED,1078-8956,60002,28.054,26.501,5.817,175,7.8,0.16308,12.262
33,ACCOUNTS CHEM RES,0001-4842,47005,24.348,26.002,5.201,279,6.1,0.11178,7.964
34,CELL STEM CELL,1934-5909,15492,22.151,25.911,5.956,113,3.7,0.11745,13.606
35,PROG MATER SCI,0079-6425,6903,25.87,25.897,4.92,25,7.4,0.01506,9.281
36,SURF SCI REP,0167-5729,4410,24.562,25.642,1,9,>10.0,0.00828,9.34
37,NAT REV MICROBIOL,1740-1526,16774,23.317,25.64,5.069,72,5.2,0.06896,10.992
38,NAT IMMUNOL,1529-2908,34765,24.973,25.566,4.507,136,6,0.14263,12.977
39,ANNU REV PSYCHOL,0066-4308,11810,20.533,25.106,4.65,20,10,0.02458,11.946
40,PHYS REP,0370-1573,21386,22.91,25.01,4.146,48,>10.0,0.03948,12.227
41,NAT CHEM,1755-4330,12440,23.297,24.537,6.713,129,2.9,0.07213,9.154
42,LANCET ONCOL,1470-2045,20565,24.725,24.229,5.325,163,4,0.0931,9.562
43,ENDOCR REV,0163-769X,13623,19.358,24.124,3.4,25,>10.0,0.02068,8.524
44,LANCET NEUROL,1474-4422,17534,21.823,24.075,5.817,93,4.7,0.06726,8.855
45,BEHAV BRAIN SCI,0140-525X,7017,14.962,22.821,4.476,21,>10.0,0.00969,10.34
46,PHARMACOL REV,0031-6997,11069,18.551,22.472,3.314,35,9.9,0.0171,8.047
47,ANNU REV GENET,0066-4197,7015,18.115,22.113,0.231,26,8.2,0.02496,12.034
48,ANNU REV PATHOL-MECH,1553-4006,2767,22.128,21.918,5.778,18,4,0.01441,8.878
49,NAT CELL BIOL,1465-7392,34482,20.058,21.241,4.295,139,6.4,0.14265,11.633
50,PSYCHOL BULL,0033-2909,34080,14.392,21.197,3.875,40,>10.0,0.03187,9.623
51,IMMUNITY,1074-7613,34787,19.748,20.948,4.978,182,6.3,0.14034,11.111
52,PROG ENERG COMBUST,0360-1285,5978,16.909,20.32,2.3,20,7.4,0.01309,6.411
53,MAT SCI ENG R,0927-796X,5154,11.789,20.224,0.455,11,9.2,0.00765,6.016
54,NAT PHYS,1745-2473,20321,20.603,20.059,5.254,122,4.1,0.17336,13.799
55,CLIN MICROBIOL REV,0893-8512,12781,16,19.916,2,36,9.7,0.01946,6.967
56,ANNU REV PHARMACOL,0362-1642,7373,18.523,19.845,6.731,26,9,0.01213,7.038
57,ANNU REV ECOL EVOL S,1543-592X,16396,10.977,19.806,0.296,27,>10.0,0.01861,8.97
58,ANNU REV CELL DEV BI,1081-0706,9224,20.241,19.672,0.864,22,8.9,0.02485,10.842
59,NANO TODAY,1748-0132,3855,18.432,19.202,1.268,41,3.7,0.01466,5.377
60,TRENDS ECOL EVOL,0169-5347,26806,15.353,18.987,3.26,77,9.3,0.05438,8.188
61,TRENDS COGN SCI,1364-6613,18076,21.147,18.92,2.983,60,7.9,0.0439,8.357
62,ANNU REV PHYSIOL,0066-4278,8246,14.696,18.785,6.3,30,10,0.01584,7.825
63,LIVING REV RELATIV,1433-8351,1600,16.526,18.31,7.444,9,5.8,0.00634,9.017
64,LANCET INFECT DIS,1473-3099,11710,19.446,18.279,6.845,84,4.9,0.04036,7.096
65,ADV OPT PHOTONICS,1943-8206,660,9.688,18.194,0.3,10,4.1,0.0048,7.969
66,PLOS MED,1549-1676,16975,14,17.945,3.72,118,5.1,0.074,7.801
67,CELL METAB,1550-4131,15636,16.747,17.878,3.052,153,4.5,0.07873,8.185
68,ECOL LETT,1461-023X,20519,13.042,17.794,2,175,6.4,0.06471,7.453
69,ACTA CRYSTALLOGR A,0108-7673,12476,2.069,17.237,0.81,58,>10.0,0.02484,4.64
70,J CLIN ONCOL,0732-183X,130991,17.879,17.158,4.702,627,5.9,0.37119,6
71,ANNU REV MICROBIOL,0066-4227,9159,13.018,17.007,0.967,30,>10.0,0.01719,7.447
72,ANNU REV MATER RES,1531-7331,5833,15.629,16.758,1.522,23,>10.0,0.01155,6.975
73,MICROBIOL MOL BIOL R,1092-2172,9547,15.255,16.735,2.88,25,>10.0,0.01623,7.134
74,REP PROG PHYS,0034-4885,11421,15.633,16.627,3.613,62,8.5,0.03447,8.731
75,NEURON,0896-6273,71989,15.982,16.485,2.918,367,8.1,0.22641,8.664
76,ANN INTERN MED,0003-4819,47309,16.104,16.482,4.563,158,10,0.10285,7.407
77,ANNU REV BIOPHYS,1936-122X,1975,12.25,16.43,3.172,29,3.8,0.01724,9.042
78,ANNU REV MAR SCI,1941-1405,1628,16.381,16.277,3.875,24,3.1,0.01243,7.906
79,NAT NEUROSCI,1097-6256,46095,14.976,16.273,3.725,236,7.4,0.15151,8.584
80,BMJ-BRIT MED J,1756-1833,85434,16.378,16.122,9.845,277,>10.0,0.16067,6.277
81,CANCER DISCOV,2159-8274,2210,15.929,15.929,4.58,88,1.7,0.0175,9.258
82,ADV MATER,0935-9648,107567,15.409,15.581,2.757,874,5,0.27528,4.252
83,ANNU REV PHYS CHEM,0066-426X,7570,15.678,15.5,4.5,28,9.7,0.015,6.69
84,ANNU REV CLIN PSYCHO,1548-5943,2542,12.921,15.459,1.821,28,5.1,0.00947,5.779
85,NAT CLIM CHANGE,1758-678X,2871,15.295,15.327,2.994,158,1.6,0.02112,8.093
86,CIRCULATION,0009-7322,158661,14.948,15.326,2.934,533,9.2,0.28802,5.894
87,MOL CELL,1097-2765,52033,14.464,15.324,3.819,309,6.5,0.22563,9.101
88,ADV DRUG DELIVER REV,0169-409X,23820,12.707,15.271,2.18,150,7.3,0.03938,3.773
89,ENERG ENVIRON SCI,1754-5692,22428,15.49,15.263,3.36,372,2.3,0.0873,3.768
90,JNCI-J NATL CANCER I,0027-8874,37903,15.161,15.194,2.516,159,10,0.0725,6.507
91,AM J PSYCHIAT,0002-953X,43193,13.559,15.062,3.361,119,>10.0,0.04942,5.21
92,NAT CHEM BIOL,1552-4450,12495,13.217,15.059,3.448,116,4.4,0.06653,6.892
93,ANNU REV BIOMED ENG,1523-9829,3486,12.45,15,0.737,19,7.3,0.00778,5.606
94,GENOME RES,1088-9051,30995,13.852,14.927,2.938,192,5.7,0.14207,8.088
95,ANNU REV FLUID MECH,0066-4189,7538,11.26,14.791,4.75,20,>10.0,0.01496,8.132
96,NAT REV NEUROL,1759-4758,3257,14.103,14.785,2.719,57,3,0.01898,5.429
97,J AM COLL CARDIOL,0735-1097,79235,15.343,14.669,3.745,455,7,0.20014,5.365
98,ASTRON ASTROPHYS REV,0935-4956,1071,13.312,14.628,2.083,12,5.1,0.00662,9.203
99,ANNU REV CONDEN MA P,1947-5454,845,11.909,14.529,7.692,13,2.7,0.00854,10.006
100,NANO LETT,1530-6984,103399,12.94,14.452,2.388,996,4.7,0.37513,4.973
101,J CLIN INVEST,0021-9738,96908,13.765,14.449,2.866,454,9.9,0.19352,6.287
102,ADV ENERGY MATER,1614-6832,5433,14.385,14.442,2.93,214,1.9,0.02205,3.995
103,J PHOTOCH PHOTOBIO C,1389-5567,2239,11.625,14.424,2,17,7.4,0.00372,3.367
104,ARCH GEN PSYCHIAT,0003-990X,38622,13.747,14.396,,0,>10.0,0.05477,5.221
105,FEMS MICROBIOL REV,0168-6445,8827,13.806,14.39,3.263,38,7.9,0.02255,5.592
106,NAT REV CLIN ONCOL,1759-4774,3523,15.696,14.389,2.863,51,2.7,0.02286,5.839
107,TRENDS NEUROSCI,0166-2236,18523,12.902,14.345,2.534,73,9.9,0.03691,6.394
108,ANNU REV ENTOMOL,0066-4170,9546,13.021,14.258,5.967,30,>10.0,0.01048,4.893
109,TRENDS PLANT SCI,1360-1385,15367,13.479,14.22,1.919,86,7.5,0.03429,4.789
110,SYST BIOL,1063-5157,12226,11.532,14.219,1.875,64,7.6,0.02871,5.449
111,MOL PSYCHIATR,1359-4184,13902,15.147,14.196,3.5,132,5.4,0.03938,4.67
112,LIVING REV SOL PHYS,1614-4961,582,11.833,14.04,3.6,5,4.3,0.00391,9.338
113,J EXP MED,0022-1007,64191,13.912,13.955,2.448,212,>10.0,0.13872,7.148
114,NAT GEOSCI,1752-0894,10224,11.668,13.93,2.808,167,3.5,0.0919,7.881
115,ANNU REV PHYTOPATHOL,0066-4286,5920,11,13.8,0.852,27,>10.0,0.00826,4.702
116,REV GEOPHYS,8755-1209,7418,10.4,13.792,1.333,15,>10.0,0.01264,7.871
117,ACS NANO,1936-0851,58446,12.033,13.774,1.909,1178,2.9,0.27094,4.021
118,ALDRICHIM ACTA,0002-5100,1066,16.333,13.667,0.833,6,6.5,0.00243,4.404
119,CELL HOST MICROBE,1931-3128,7622,12.194,13.573,2.5,122,3.7,0.05316,6.485
120,ANNU REV MED,0066-4219,5560,15.478,13.298,4.941,34,7.5,0.0148,5.265
121,NAT PROTOC,1754-2189,20399,7.782,13.142,1.232,181,5.4,0.08865,5.914
122,EUR HEART J,0195-668X,36613,14.723,13.12,2.772,334,5.6,0.11136,4.681
123,DEV CELL,1534-5807,21439,10.366,13.012,2.433,203,5.9,0.09938,7.371
124,GASTROENTEROLOGY,0016-5085,62445,13.926,12.951,3.479,238,7.6,0.14739,4.865
125,PLOS BIOL,1545-7885,24324,11.771,12.807,1.706,201,5.9,0.11227,7.042
126,GENE DEV,0890-9369,59234,12.639,12.765,2.181,226,9.4,0.16574,7.438
127,ANNU REV GENOM HUM G,1527-8204,2345,9.132,12.73,0.667,27,5.7,0.01042,6.227
128,SCI TRANSL MED,1946-6234,9222,14.414,12.701,3.134,216,2.3,0.07005,6.249
129,COORDIN CHEM REV,0010-8545,27922,12.098,12.598,3.488,170,8.5,0.03644,3.021
130,EPIDEMIOL REV,0193-936X,2953,7.333,12.344,3.769,13,9.3,0.00514,5.037
131,NAT STRUCT MOL BIOL,1545-9993,25691,11.633,12.338,3.989,182,6.2,0.11795,7.422
