Rank,Abbreviated Journal Title,ISSN,2014 Total Cites,Impact Factor,5-Year Impact Factor,Immediacy Index,2014 Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
1,CA-CANCER J CLIN,0007-9235,18594,115.84,119.827,35.923,26,3.5,0.06277,35.849
2,NEW ENGL J MED,0028-4793,268652,55.873,54.39,13.844,353,8.4,0.67724,24.259
3,CHEM REV,0009-2665,137600,46.568,50.679,7.381,281,8,0.22463,14.716
4,LANCET,0140-6736,185361,45.217,42.724,12.967,271,9.2,0.39596,17.569
5,NAT REV DRUG DISCOV,1474-1776,23811,41.908,37.825,8.462,39,6.5,0.06024,13.518
6,NAT BIOTECHNOL,1087-0156,45986,41.514,38.276,7.784,111,6.8,0.14944,19.2
7,NATURE,0028-0836,617363,41.456,41.296,9.585,862,>10.0,1.5014,21.947
8,ANNU REV IMMUNOL,0732-0582,16750,39.327,46.694,5.636,22,9.2,0.04565,23.704
9,NAT REV MOL CELL BIO,1471-0072,35928,37.806,41.496,7.797,59,6.9,0.11264,20.753
10,NAT REV CANCER,1474-175X,39868,37.4,44.335,4.377,61,7.4,0.10028,18.208
11,NAT REV GENET,1471-0056,29388,36.978,43.234,7.864,59,5.7,0.11705,20.715
12,NAT MATER,1476-1122,64622,36.503,44.046,7.242,153,6.1,0.19787,17.836
13,JAMA-J AM MED ASSOC,0098-7484,126479,35.289,31.026,10.189,228,>10.0,0.26113,14.391
14,NAT REV IMMUNOL,1474-1733,28938,34.985,37.316,5.783,60,6.4,0.0951,17.471
15,NAT NANOTECHNOL,1748-3387,34387,34.048,37.601,6.894,142,4.5,0.15299,15.453
16,SCIENCE,0036-8075,557558,33.611,35.263,7.221,828,>10.0,1.22419,17.874
17,CHEM SOC REV,0306-0012,81907,33.383,36.001,7.597,380,3.9,0.253,9.599
18,ANNU REV ASTRON ASTR,0066-4146,8462,33.346,33.914,4.929,14,>10.0,0.02542,22.819
19,NAT PHOTONICS,1749-4885,23499,32.386,33.413,7.208,130,3.9,0.12961,15.024
20,CELL,0092-8674,201108,32.242,35.532,5.931,436,8.6,0.57815,19.352
21,NAT METHODS,1548-7091,32342,32.072,31.232,5.372,156,4.4,0.17312,15.901
22,NAT REV NEUROSCI,1471-003X,32989,31.427,38.997,3.712,59,7.4,0.08302,16.879
23,ANNU REV BIOCHEM,0066-4154,19927,30.283,32.36,4.129,31,>10.0,0.04401,16.861
24,REV MOD PHYS,0034-6861,39402,29.604,51.324,7,35,>10.0,0.12389,31.135
25,NAT GENET,1061-4036,85481,29.352,32.408,5.938,192,7.5,0.25836,15.914
26,PROG MATER SCI,0079-6425,8475,27.417,29.065,8.087,23,7.6,0.01558,9.066
27,NAT MED,1078-8956,62572,27.363,27.14,5.935,155,7.9,0.16322,12.311
28,PHYSIOL REV,0031-9333,24528,27.324,35.337,4.935,31,>10.0,0.03834,13.765
29,PROG POLYM SCI,0079-6700,19454,26.932,33.343,4.922,64,6.7,0.03163,7.825
30,NAT CHEM,1755-4330,16973,25.325,26.763,6.707,133,3.3,0.09494,9.942
31,LANCET ONCOL,1470-2045,24861,24.69,26.239,6.243,169,4.2,0.10187,10
32,NAT REV MICROBIOL,1740-1526,18866,23.574,26.162,4.791,67,5.8,0.06259,10.774
33,CANCER CELL,1535-6108,27283,23.523,27.252,4.707,116,5.7,0.10699,13.232
34,ANNU REV PLANT BIOL,1543-5008,16494,23.3,28.148,4.5,28,>10.0,0.02246,10.451
35,LANCET INFECT DIS,1473-3099,13161,22.433,19.094,5.673,104,4.7,0.04883,8.202
36,ACCOUNTS CHEM RES,0001-4842,53349,22.323,24.373,4.422,353,6.4,0.11466,7.575
37,CELL STEM CELL,1934-5909,17720,22.268,24.565,6.143,112,4.2,0.10267,12.102
38,TRENDS COGN SCI,1364-6613,20396,21.965,22.5,3.15,60,8.2,0.04593,9.493
39,LANCET NEUROL,1474-4422,19384,21.896,24.577,4.914,93,5.2,0.06867,9.545
40,ANNU REV PSYCHOL,0066-4308,13101,21.81,26.824,4.037,27,>10.0,0.02315,12.223
41,IMMUNITY,1074-7613,37232,21.561,21.003,5.007,149,6.5,0.1466,11.659
42,ENDOCR REV,0163-769X,13143,21.059,22.052,2.375,24,>10.0,0.01613,7.564
43,ADV PHYS,0001-8732,5095,20.833,29.771,4,4,>10.0,0.0083,14.892
44,BEHAV BRAIN SCI,0140-525X,7562,20.771,24.308,2.75,20,>10.0,0.01106,10.689
45,ENERG ENVIRON SCI,1754-5692,36159,20.523,19.198,6.11,363,2.9,0.12666,4.629
46,NAT PHYS,1745-2473,21732,20.147,19.777,5,131,4.6,0.15378,13.308
47,PHYS REP,0370-1573,22152,20.033,24.573,3.917,48,>10.0,0.03487,11.412
48,NAT IMMUNOL,1529-2908,35403,20.004,23.956,4.322,121,6.4,0.13553,12.882
49,NAT CELL BIOL,1465-7392,35734,19.679,20.688,4.812,117,6.7,0.12556,10.851
50,CANCER DISCOV,2159-8274,4605,19.453,20.259,5.761,92,2.1,0.03151,9.849
51,ANNU REV NEUROSCI,0147-006X,13226,19.32,25.92,1.32,25,>10.0,0.02428,13.617
52,LIVING REV RELATIV,1433-8351,1838,19.25,20.634,11.714,7,5.9,0.00631,9.663
53,PROG ENERG COMBUST,0360-1285,6443,19.22,21.043,2.059,17,7.3,0.01177,6.378
54,ANNU REV PATHOL-MECH,1553-4006,3122,18.75,22.978,8.667,15,4.3,0.01334,9.11
55,ANNU REV PHYSIOL,0066-4278,8693,18.51,19.656,3.926,27,10,0.01687,8.282
56,J CLIN ONCOL,0732-183X,133258,18.428,16.966,5.472,466,6.4,0.3474,6.152
57,ANNU REV PHARMACOL,0362-1642,7561,18.365,19.349,5.5,26,9.6,0.0117,6.934
58,ANN INTERN MED,0003-4819,48356,17.81,17.469,5.134,157,>10.0,0.10626,8.112
59,ASTRON ASTROPHYS REV,0935-4956,1209,17.737,13.872,0.5,10,5.4,0.00684,9.148
60,LIVING REV SOL PHYS,1614-4961,840,17.636,21.111,1.25,4,4.7,0.00605,14.07
61,CELL METAB,1550-4131,18502,17.565,17.608,3.629,167,4.5,0.07934,7.913
62,ADV MATER,0935-9648,128805,17.493,18.172,3.441,966,5,0.30007,4.746
63,BMJ-BRIT MED J,1756-1833,89031,17.445,16.814,10.349,241,>10.0,0.1694,6.97
64,CLIN MICROBIOL REV,0893-8512,13982,17.406,21.657,2.154,39,10,0.02015,7.626
65,ARCH INTERN MED,0003-9926,38021,17.333,13.098,,0,9.6,0.06688,5.868
66,PHARMACOL REV,0031-6997,11630,17.099,22.347,4.5,24,9.9,0.01728,7.538
67,ALDRICHIM ACTA,0002-5100,1097,17.083,13.871,1,6,7.5,0.00231,4.678
68,REP PROG PHYS,0034-4885,12463,17.062,17.242,2.211,57,8.9,0.03678,8.754
69,ADV ANAT EMBRYOL CEL,0301-5556,424,17,6.923,1.385,13,>10.0,0.00044,2.119
70,ANNU REV PHYS CHEM,0066-426X,7749,16.842,16.113,2.667,27,9.5,0.01412,6.671
71,GASTROENTEROLOGY,0016-5085,66614,16.716,13.811,5.669,245,7.9,0.13845,5.129
72,ANNU REV CELL DEV BI,1081-0706,9301,16.66,21.326,0.481,27,9.3,0.02361,10.986
73,J AM COLL CARDIOL,0735-1097,80926,16.503,14.987,4.67,433,6.9,0.21312,6.018
74,TRENDS ECOL EVOL,0169-5347,28654,16.196,19.819,3.243,70,9.8,0.05326,8.76
75,ADV ENERGY MATER,1614-6832,10129,16.146,16.581,3.266,312,2.4,0.03758,4.34
76,NAT NEUROSCI,1097-6256,50204,16.095,17.154,4.276,221,7.7,0.15522,8.817
77,J PHOTOCH PHOTOBIO C,1389-5567,2767,16.091,14.824,2.2,20,6.9,0.00427,3.629
78,SCI TRANSL MED,1946-6234,13031,15.843,13.845,3.543,219,2.7,0.09184,6.535
79,EUR HEART J SUPPL,1520-765X,977,15.8,4.333,1.523,44,8.6,0.00196,1.708
80,ANNU REV GENET,0066-4197,7474,15.724,21.669,0.16,25,8.3,0.0206,10.697
81,MAT SCI ENG R,0927-796X,5625,15.5,21.676,6.917,12,10,0.00732,6.474
82,ANNU REV BIOPHYS,1936-122X,2329,15.436,14.192,1.526,19,4.1,0.01423,7.453
83,NAT REV NEUROL,1759-4758,4264,15.358,15.38,3.038,53,3.3,0.02432,5.745
84,EUR HEART J,0195-668X,38544,15.203,13.652,3.889,289,5.4,0.12509,5.383
85,NEURON,0896-6273,77446,15.054,16.839,3.221,399,8.1,0.22364,8.679
86,ADV DRUG DELIVER REV,0169-409X,27077,15.038,15.889,2.164,116,7.2,0.04033,3.91
87,NANO TODAY,1748-0132,4770,15,20.089,1.2,35,4.1,0.01627,5.352
88,REV GEOPHYS,8755-1209,7707,14.8,16.102,1.333,21,>10.0,0.0119,8.499
89,ANNU REV CONDEN MA P,1947-5454,1159,14.786,16.578,6.062,16,3.2,0.01098,10.775
90,SURF SCI REP,0167-5729,4495,14.765,18.563,0.182,11,>10.0,0.00487,6.379
91,PSYCHOL BULL,0033-2909,36794,14.756,22.155,3.277,47,>10.0,0.03209,10.081
92,GUT,0017-5749,34911,14.66,12.553,4.834,187,8.6,0.06226,4.197
93,GENOME RES,1088-9051,33977,14.63,15.567,3.198,187,6.1,0.13869,8.37
94,MICROBIOL MOL BIOL R,1092-2172,9777,14.611,16.765,1.174,23,>10.0,0.01447,6.888
95,LIGHT-SCI APPL,2047-7538,1042,14.603,14.621,3.585,53,1.6,0.00449,4.862
96,NAT CLIM CHANGE,1758-678X,5415,14.547,15.462,3.774,146,2.2,0.03762,7.527
97,MOL PSYCHIATR,1359-4184,14510,14.496,13.834,3.152,151,5.4,0.04325,5.005
98,ARCH GEN PSYCHIAT,0003-990X,36976,14.48,15.56,,0,>10.0,0.04879,6.131
99,CIRCULATION,0009-7322,155571,14.43,15.2,4.508,423,9.7,0.27973,6.223
100,PLOS MED,1549-1676,18649,14.429,18.047,2.57,128,5.7,0.06871,7.821
101,SYST BIOL,1063-5157,13303,14.387,14.787,2.014,74,7.8,0.02951,6.079
102,ANNU REV MAR SCI,1941-1405,1976,14.356,16.008,4.444,18,3.7,0.01307,6.957
103,WORLD PSYCHIATRY,1723-8617,1914,14.225,11.188,5.636,22,4,0.00482,3
104,ANNU REV BIOMED ENG,1523-9829,3859,14.211,15.839,1.15,20,7.7,0.0074,5.344
105,NAT REV CLIN ONCOL,1759-4774,4462,14.18,14.916,3.827,52,3.4,0.02525,5.566
106,MATER TODAY,1369-7021,5339,14.107,9.931,2.071,42,6.2,0.01246,3.156
107,MOL CELL,1097-2765,53786,14.018,15.052,3.625,304,6.8,0.20105,8.461
108,EUR UROL,0302-2838,21495,13.938,11.26,4.978,228,4.6,0.06113,3.54
109,ANNU REV ENTOMOL,0066-4170,10553,13.731,15.682,4.321,28,>10.0,0.01136,5.408
110,NANO LETT,1530-6984,118534,13.592,14.887,2.552,1103,4.9,0.36451,4.885
111,TRENDS NEUROSCI,0166-2236,19082,13.555,14.695,2.441,68,>10.0,0.03369,6.263
112,NAT STRUCT MOL BIOL,1545-9993,26673,13.309,12.479,3.424,132,6.5,0.11498,7.478
113,NAT REV ENDOCRINOL,1759-5029,3661,13.281,12.409,3.436,55,3.1,0.01966,4.427
114,STUD MYCOL,0166-0616,1660,13.25,11.912,1.769,13,7.1,0.00365,4.023
115,FEMS MICROBIOL REV,0168-6445,8828,13.244,13.936,1.933,45,8,0.01878,4.999
116,J CLIN INVEST,0021-9738,98555,13.215,14.051,2.5,446,>10.0,0.18863,6.106
117,JAMA INTERN MED,2168-6106,2934,13.116,13.128,4.214,168,1.3,0.01757,6.731
118,AM J RESP CRIT CARE,1073-449X,51902,12.996,11.718,3.056,250,9.1,0.0983,4.31
119,NAT CHEM BIOL,1552-4450,14121,12.996,14.273,3.545,145,5,0.06325,6.43
120,TRENDS PLANT SCI,1360-1385,16637,12.929,14.673,2.831,83,7.8,0.03242,4.827
121,ANNU REV MED,0066-4219,5612,12.928,13.452,3.774,31,7.9,0.0135,5.05
122,ACS NANO,1936-0851,78579,12.881,14.412,2.216,1328,3.4,0.3107,3.976
123,ANNU REV CLIN PSYCHO,1548-5943,2980,12.674,14.369,2.179,28,5.4,0.00977,5.533
124,NAT REV GASTRO HEPAT,1759-5045,3345,12.61,11.693,2.048,62,3,0.01721,3.946
125,JNCI-J NATL CANCER I,0027-8874,36458,12.583,13.584,2.173,173,>10.0,0.06281,5.803
126,J EXP MED,0022-1007,62917,12.515,13.244,2.351,188,>10.0,0.12034,6.842
127,CELL RES,1001-0602,9195,12.413,11.187,4.15,80,4.7,0.03488,4.455
128,ALZHEIMERS DEMENT,1552-5260,5371,12.407,13.324,3.021,95,3.4,0.02217,4.298
129,CELL HOST MICROBE,1931-3128,9206,12.328,13.126,3.148,128,3.9,0.05197,6.243
130,AM J PSYCHIAT,0002-953X,42476,12.295,14.644,3.368,95,>10.0,0.0485,5.421
131,COORDIN CHEM REV,0010-8545,29127,12.239,13.174,3.288,139,8.7,0.03939,3.269
132,ANNU REV MICROBIOL,0066-4227,9193,12.182,16.132,0.885,26,>10.0,0.01628,7.102
133,J AM CHEM SOC,0002-7863,489761,12.113,11.726,2.607,2651,8,0.81533,3.287
134,JAMA PSYCHIAT,2168-622X,1886,12.008,12.008,2.808,120,1.3,0.01,4.945
135,TRENDS CELL BIOL,0962-8924,11481,12.007,12.14,3.037,81,7.1,0.03481,5.579
136,TRENDS BIOTECHNOL,0167-7799,11427,11.958,11.681,1.8,70,7.4,0.0211,3.554
137,WIRES COMPUT MOL SCI,1759-0876,2014,11.885,11.118,6.054,37,2.5,0.00855,3.338
138,ANNU REV MATER RES,1531-7331,6481,11.854,17.97,2.278,18,>10.0,0.01115,7.077
139,B AM METEOROL SOC,0003-0007,14786,11.808,10.666,1.052,135,>10.0,0.0355,5.603
140,ADV FUNCT MATER,1616-301X,51895,11.805,12.311,2.234,813,4.6,0.13207,3.117
141,AUTOPHAGY,1554-8627,9457,11.753,10.698,1.748,159,4.2,0.03294,3.449
142,NAT GEOSCI,1752-0894,12258,11.74,13.579,2.932,147,4,0.0871,7.455
143,TRENDS PHARMACOL SCI,0165-6147,10743,11.539,10.338,2.266,64,7.9,0.02121,3.515
144,J ALLERGY CLIN IMMUN,0091-6749,38706,11.476,10.715,3.044,316,6.5,0.07983,3.11
145,NAT COMMUN,2041-1723,39396,11.47,11.904,1.706,2788,1.9,0.26374,5.72
146,J HEPATOL,0168-8278,27739,11.336,10.305,2.843,313,5.2,0.07243,3.243
147,ANGEW CHEM INT EDIT,1433-7851,242023,11.261,12.06,2.61,2405,5.8,0.53225,3.392
148,ANNU REV NUCL PART S,0163-8998,2464,11.256,8.914,0.25,16,7.9,0.00729,4.363
149,TRENDS BIOCHEM SCI,0968-0004,15782,11.227,11.81,3.052,58,>10.0,0.03244,5.523
150,ASTROPHYS J SUPPL S,0067-0049,23963,11.215,12.267,3.277,159,7.4,0.09124,7.349
151,ANNU REV FLUID MECH,0066-4189,8177,11.163,14.283,5.04,25,>10.0,0.01395,7.759
152,HEPATOLOGY,0270-9139,58031,11.055,12.054,3.052,382,6.9,0.12817,3.942
153,CIRC RES,0009-7330,47773,11.019,10.965,3.439,246,8.8,0.08284,3.794
154,AM J HUM GENET,0002-9297,34816,10.931,11.174,2.02,148,8.8,0.08177,5.379
155,MOL SYST BIOL,1744-4292,7644,10.872,12.019,1.438,48,4.6,0.03895,5.855
156,GENOME BIOL,1465-6906,22663,10.81,13.48,1.942,223,6,0.08797,6.857
157,GENE DEV,0890-9369,59511,10.798,12.305,1.925,226,10,0.12826,6.504
158,ACTA NEUROPATHOL,0001-6322,13098,10.762,9.762,2.5,116,6.7,0.03331,3.477
159,AM J GASTROENTEROL,0002-9270,30570,10.755,9.145,1.676,179,8.1,0.05458,2.911
160,ECOL LETT,1461-023X,22999,10.689,16.783,1.521,163,6.7,0.0687,7.391
161,ANNU REV ECOL EVOL S,1543-592X,16942,10.562,19.826,0.185,27,>10.0,0.01681,8.73
162,BLOOD,0006-4971,150854,10.452,9.567,2.415,853,7.1,0.37425,3.631
163,KIDNEY INT SUPPL,2157-1724,691,10.435,7.533,0,20,2.2,0.00472,3.297
164,EMBO J,0261-4189,72583,10.434,9.837,2.657,181,>10.0,0.12826,5.081
165,LEUKEMIA,0887-6924,20905,10.431,9.158,4.226,212,5.9,0.05761,3.431
166,TRENDS IMMUNOL,1471-4906,8931,10.399,10.527,2.182,66,6.8,0.02667,4.554
167,ANN RHEUM DIS,0003-4967,33400,10.377,9.644,4.904,303,5.6,0.07176,2.684
168,NANO ENERGY,2211-2855,2755,10.325,10.355,1.611,221,1.8,0.00827,2.25
169,BIOL PSYCHIAT,0006-3223,40812,10.255,10.359,2.667,210,7.7,0.0796,3.549
170,MOL ASPECTS MED,0098-2997,4050,10.238,11,1.118,17,5.5,0.01124,3.495
171,HUM REPROD UPDATE,1355-4786,6625,10.165,10.818,2.967,60,7,0.01442,3.667
172,IMMUNOL REV,0105-2896,12935,10.12,11.151,2.581,93,6.2,0.04266,5.009
173,NPG ASIA MATER,1884-4049,1145,10.118,11.347,1.016,62,2.6,0.00509,3.368
174,ADV OPT PHOTONICS,1943-8206,880,10.111,18.565,2.778,9,4.6,0.00537,7.33
175,NAT PROD REP,0265-0568,8047,10.107,10.545,2.402,82,6.7,0.01676,3.171
176,LANCET GLOB HEALTH,2214-109X,457,10.042,10.083,4.354,48,1,0.00204,5.352
177,PROG LIPID RES,0163-7827,4825,10.015,12.204,2.5,22,8.1,0.0094,3.884
178,ADV CATAL,0360-0564,1455,10,8.053,0,3,>10.0,0.00099,3.287
179,PROG NEUROBIOL,0301-0082,11430,9.992,10.487,2.839,62,9.4,0.02017,3.549
180,ANN NEUROL,0364-5134,32934,9.977,10.792,1.97,167,9.9,0.06061,4.171
181,TRENDS GENET,0168-9525,11210,9.918,9.859,2.158,57,8.9,0.02661,4.818
182,NAT REV RHEUMATOL,1759-4790,3335,9.845,9.892,1.894,66,3.3,0.01688,3.273
183,J CELL BIOL,0021-9525,71695,9.834,10.765,1.904,249,>10.0,0.1304,5.404
184,PHARMACOL THERAPEUT,0163-7258,11806,9.723,8.843,2.962,106,7.3,0.02205,2.685
